"wheelName","dumpster","month","year","date","weightTons","volumeYards3","plasticBottles","foamContainers","cigButts","glassBottles","plasticBags","wrappers","sportsBalls","homesPowered"
"Mr. Trash Wheel",1,"May",2014,"2014-05-16",4.31,18,1450,1820,126000,72,584,1162,7.199999999999999,0
"Mr. Trash Wheel",2,"May",2014,"2014-05-16",2.74,13,1120,1030,91000,42,496,874,5.2,0
"Mr. Trash Wheel",3,"May",2014,"2014-05-16",3.45,15,2450,3100,105000,50,1080,2032,6,0
"Mr. Trash Wheel",4,"May",2014,"2014-05-17",3.1,15,2380,2730,100000,52,896,1971,6,0
"Mr. Trash Wheel",5,"May",2014,"2014-05-17",4.06,18,980,870,120000,72,368,753,7.199999999999999,0
"Mr. Trash Wheel",6,"May",2014,"2014-05-20",2.71,13,1430,2140,90000,46,672,1144,5.2,0
"Mr. Trash Wheel",7,"May",2014,"2014-05-21",1.91,8,910,1090,56000,32,416,692,3.2,0
"Mr. Trash Wheel",8,"May",2014,"2014-05-28",3.7,16,3580,4310,112000,58,1552,3015,6.4,0
"Mr. Trash Wheel",9,"June",2014,"2014-06-05",2.52,14,2400,2790,98000,49,984,1988,5.6,0
"Mr. Trash Wheel",10,"June",2014,"2014-06-11",3.76,18,1340,1730,130000,75,448,1066,7.199999999999999,0
"Mr. Trash Wheel",11,"June",2014,"2014-06-11",3.43,15,740,869,110000,38,344,544,6,0
"Mr. Trash Wheel",12,"June",2014,"2014-06-12",4.17,19,950,1140,133000,45,520,727,7.6,0
"Mr. Trash Wheel",13,"June",2014,"2014-06-13",5.13,15,530,630,104000,58,224,361,6,0
"Mr. Trash Wheel",14,"June",2014,"2014-06-13",4.17,15,840,760,100000,62,344,631,6,0
"Mr. Trash Wheel",15,"June",2014,"2014-06-19",3.28,15,1130,1350,102000,64,432,883,6,0
"Mr. Trash Wheel",16,"June",2014,"2014-06-19",3.05,15,1640,2130,106000,56,752,1327,6,0
"Mr. Trash Wheel",17,"June",2014,"2014-06-28",2.49,13,1350,1620,89000,47,696,1075,5.2,0
"Mr. Trash Wheel",18,"July",2014,"2014-07-03",2.54,15,1640,1960,108000,65,744,1327,6,0
"Mr. Trash Wheel",19,"July",2014,"2014-07-07",2.41,15,1730,2100,107000,63,896,1405,6,0
"Mr. Trash Wheel",20,"July",2014,"2014-07-11",3.83,18,5960,6540,132000,79,2560,5085,7.199999999999999,0
"Mr. Trash Wheel",21,"July",2014,"2014-07-14",2.73,15,2170,2620,112000,32,1144,1788,6,0
"Mr. Trash Wheel",22,"July",2014,"2014-07-15",4.4,16,1930,2210,115000,53,688,1579,6.4,0
"Mr. Trash Wheel",23,"July",2014,"2014-07-15",2.79,14,3200,3840,98000,25,1464,2684,5.6,0
"Mr. Trash Wheel",24,"July",2014,"2014-07-25",2.5,13,2500,3040,85000,18,1248,2075,5.2,0
"Mr. Trash Wheel",25,"August",2014,"2014-08-04",4.39,16,2140,2050,118000,68,904,1762,6.4,0
"Mr. Trash Wheel",26,"August",2014,"2014-08-04",5.33,17,1630,1950,123000,75,512,1318,6.8,0
"Mr. Trash Wheel",27,"August",2014,"2014-08-13",3.58,20,3640,4360,141000,82,1560,3067,8,0
"Mr. Trash Wheel",28,"August",2014,"2014-08-13",3.1,17,1430,1870,121000,63,552,1144,6.8,0
"Mr. Trash Wheel",29,"August",2014,"2014-08-19",1.77,10,570,780,32000,21,310,1440,4,0
"Mr. Trash Wheel",30,"September",2014,"2014-09-03",3.76,18,4800,3640,310000,110,1880,2200,7.199999999999999,0
"Mr. Trash Wheel",31,"September",2014,"2014-09-24",1.24,8,550,860,18000,11,420,1040,3.2,0
"Mr. Trash Wheel",32,"September",2014,"2014-09-26",3.14,15,2240,2880,112000,42,1200,1860,6,0
"Mr. Trash Wheel",33,"October",2014,"2014-10-03",2.71,16,4220,4840,84000,38,1400,2140,6.4,0
"Mr. Trash Wheel",34,"October",2014,"2014-10-09",2.11,14,1400,1650,80000,18,1450,2030,5.6,0
"Mr. Trash Wheel",35,"October",2014,"2014-10-20",4.09,18,2820,3010,78000,7,990,1450,7.199999999999999,0
"Mr. Trash Wheel",36,"October",2014,"2014-10-20",2.31,14,1900,2240,81000,22,840,1260,5.6,0
"Mr. Trash Wheel",37,"October",2014,"2014-10-24",3.5,15,3650,3880,94000,51,1210,1840,6,0
"Mr. Trash Wheel",38,"November",2014,"2014-11-06",2.7,15,760,1680,22000,18,960,1720,6,0
"Mr. Trash Wheel",39,"November",2014,"2014-11-17",3.25,18,1250,2730,46000,28,1130,2340,7.199999999999999,0
"Mr. Trash Wheel",40,"November",2014,"2014-11-20",3.84,15,880,1840,35000,14,730,1760,6,0
"Mr. Trash Wheel",41,"November",2014,"2014-11-28",2.88,15,1800,3970,52000,32,560,1850,6,0
"Mr. Trash Wheel",42,"December",2014,"2014-12-01",1.81,17,1370,3140,38000,28,950,1620,6.8,0
"Mr. Trash Wheel",43,"December",2014,"2014-12-17",3.48,15,550,1450,22000,34,740,1280,6,0
"Mr. Trash Wheel",44,"December",2014,"2014-12-30",3.18,15,640,1670,26000,42,880,1540,6,0
"Mr. Trash Wheel",45,"January",2014,"2015-01-12",2.87,17,1160,2250,31000,60,1120,2450,7,0
"Mr. Trash Wheel",46,"January",2014,"2015-01-23",2,14,1570,2400,33000,37,380,910,6,0
"Mr. Trash Wheel",47,"January",2014,"2015-01-26",2.14,13,1340,2650,28000,46,430,1170,5,0
"Mr. Trash Wheel",48,"February",2014,"2015-02-04",2.54,15,1740,2250,22000,38,320,980,3,42.333333333333336
"Mr. Trash Wheel",49,"March",2014,"2015-03-09",3.82,18,2870,3240,25000,26,540,860,8,63.666666666666664
"Mr. Trash Wheel",50,"March",2014,"2015-03-13",1.83,15,3120,5430,32000,54,650,1120,16,30.5
"Mr. Trash Wheel",51,"March",2014,"2015-03-27",2.02,15,2780,4980,26000,47,470,960,14,33.666666666666664
"Mr. Trash Wheel",52,"April",2014,"2015-04-08",2.5,18,2240,2360,27000,46,270,840,13,41.666666666666664
"Mr. Trash Wheel",53,"April",2014,"2015-04-10",3.41,15,2550,3420,32000,32,320,1260,16,56.833333333333336
"Mr. Trash Wheel",54,"April",2014,"2015-04-19",1.83,11,1470,1840,18000,22,240,680,8,30.5
"Mr. Trash Wheel",55,"April",2014,"2015-04-20",3.84,18,1240,1630,23000,18,430,760,5,64
"Mr. Trash Wheel",56,"April",2014,"2015-04-20",3.22,15,1150,1420,19000,16,370,590,8,53.666666666666664
"Mr. Trash Wheel",57,"April",2014,"2015-04-20",3.03,15,2850,3160,18000,15,350,610,11,0
"Mr. Trash Wheel",58,"April",2014,"2015-04-20",2.64,18,960,1280,22000,22,450,820,7,0
"Mr. Trash Wheel",59,"April",2014,"2015-04-20",3.54,15,870,1140,18000,17,330,620,6,59
"Mr. Trash Wheel",60,"May",2014,"2015-05-15",1.95,9,1340,2150,22000,16,190,530,8,32.5
"Mr. Trash Wheel",61,"May",2014,"2015-05-17",4.25,18,2630,3480,38000,36,1240,1760,22,70.83333333333333
